source,author,title,description,url,urlToImage,publishedAt,content,topic
"{'id': None, 'name': 'Forbes'}","Elizabeth Pearson, Contributor, 
 Elizabeth Pearson, Contributor
 https://www.forbes.com/sites/elizabethpearson/",Having Rich People Hobbies Can Open Doors-Here’s How,"Embracing the hobbies of the wealthy can be a game-changer for your career. From skiing to sailing, and golfing to polo, these activities offer more than just a good time—they can be a major career boost.",https://www.forbes.com/sites/elizabethpearson/2024/06/25/having-rich-people-hobbies-can-open-doors-heres-how/,https://imageio.forbes.com/specials-images/imageserve/667b4cdb9a1b0bb39e7822d6/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-06-25T23:09:40Z,"12% of uber-wealthy individuals count sailing as one of their hobbies 
getty
Ever wondered if there's more to those swanky hobbies we see plastered all over social media by the ultra-rich? Theres m… [+5538 chars]",sports
"{'id': None, 'name': 'AutoExpress'}",Jordan Katsianis,"Exclusive Aston Martin Valiant arrives with retro styling, V12 power and a manual gearbox","Aston Martin’s next low-production special is a manual, V12-powered high performance road and track car",https://www.autoexpress.co.uk/aston-martin/363535/exclusive-aston-martin-valiant-arrives-retro-styling-v12-power-and-manual,"https://media.autoexpress.co.uk/image/private/s--X-WVjvBW--/f_auto,t_content-image-full-desktop@1/v1719310579/autoexpress/2024/06/Aston Martin Valiant 2024.jpg",2024-06-25T23:08:47Z,"The next of Aston Martins low-production specials has been revealed in the form of a high performance sports car called the Aston Martin Valiant. Designed to excel on road and track, the 38-unit prod… [+2406 chars]",sports
"{'id': None, 'name': 'AutoExpress'}",Sam Naylor,Range Rover Sport SV Celestial Collection brings Greek mythology to a showroom near you,The new Range Rover Sport SV special edition models look to the cosmos for design inspiration,https://www.autoexpress.co.uk/land-rover/range-rover-sport/363532/range-rover-sport-sv-celestial-collection-brings-greek,"https://media.autoexpress.co.uk/image/private/s--X-WVjvBW--/f_auto,t_content-image-full-desktop@1/v1719315227/autoexpress/2024/06/Range Rover Sport SV Celestial Collection-11.jpg",2024-06-25T23:08:46Z,A set of new special edition trims has been announced for the Range Rover Sport SV that are themed around ancient mythology and the cosmos. Five new models will be available for buyers of the Range R… [+2161 chars],sports
"{'id': 'fox-sports', 'name': 'Fox Sports'}",Patrick Everson,NBA Draft 2024 odds: 'Nothing about Bronny justifies a bet for first overall',Bronny is not going No. 1 — but don't tell that to bettors. Patrick Everson spoke with bookmakers to understand the impact LeBron's son is having on the betting market.,https://www.foxsports.com/stories/nba/nba-draft-2024-odds-nothing-about-bronny-justifies-bet-first-overall,https://a57.foxsports.com/statics.foxsports.com/www.foxsports.com/content/uploads/2024/06/1408/814/2024-06-25_Patrick-Everson-on-NBA-Draft_16x9.jpg?ve=1&tl=1,2024-06-25T23:08:05Z,"The average recreational sports bettor has no idea who Zaccharie Risacher is. Ditto for Alexandre Sarr, and to a lesser degree, Donovan Clingan.
But Bronny James? Him, they know, thanks to the pedig… [+5318 chars]",sports
"{'id': None, 'name': 'CNA'}",,Europe's big five leagues generate 19.6 billion euros in season post-COVID,"Europe's soccer market grew by 16 per cent in the 2022-23 season to 35.3 billion euros ($37.86 billion) due to the lifting of COVID-19 restrictions as fans returned to stadiums and the 2022 World Cup, Deloitte said in a study published on Tuesday.In its Annua…",https://www.channelnewsasia.com/sport/europes-big-five-leagues-generate-196-billion-euros-season-post-covid-4436721,"https://onecms-res.cloudinary.com/image/upload/s--rUJnHUao--/fl_relative,g_south_east,l_mediacorp:cna:watermark:2024-04:reuters_1,w_0.1/f_auto,q_auto/c_fill,g_auto,h_676,w_1200/v1/one-cms/core/2024-06-25t230725z_1_lynxmpek5o0z4_rtroptp_3_soccer-england-ars-brh-report.jpg?itok=al97dSm6",2024-06-25T23:07:25Z,Europe's soccer market grew by 16 per cent in the 2022-23 season to 35.3 billion euros ($37.86 billion) due to the lifting of COVID-19 restrictions as fans returned to stadiums and the 2022 World Cup… [+2284 chars],sports
"{'id': None, 'name': 'New York Post'}",Christian Arnold,Mark Schlereth doubles down on Bill Belichick ‘pig’ comments over Jordon Hudson relationship,Mark Schlereth won’t back down from his strong opinion of former Patriots coach Bill Belichick’s relationship with a young woman nearly 50 years his junior.,https://nypost.com/2024/06/25/sports/mark-schlereth-doubles-down-on-bill-belichick-pig-comments/,https://nypost.com/wp-content/uploads/sites/2/2024/06/newspress-collage-jfq9qsldn-1719356630897.jpg?quality=75&strip=all&1719342264&w=1024,2024-06-25T23:07:14Z,"Mark Schlereth wont back down from his strong opinion of former Patriots coach Bill Belichicks relationship with a young woman nearly 50 years his junior. 
The former NFL offensive lineman-turned-me… [+2041 chars]",sports
"{'id': None, 'name': 'Wnd.com'}",Larry Tomczak,14 things you can expect if Biden wins reelection,"The Bible tells us, ""We see through a glass dimly"" (1 Corinthians 13:12), so sharing predictions is not an exact science. We know that past performance can be a fairly reliable predictor of future behavior, so with two presidential debates, let's follow Jesus…",https://www.wnd.com/2024/06/14-things-can-expect-biden-wins-reelection/,https://www.wnd.com/wp-content/uploads/2024/01/joe-biden-pointing-desk.jpg,2024-06-25T23:06:21Z,"The Bible tells us, ""We see through a glass dimly"" (1 Corinthians 13:12), so sharing predictions is not an exact science. We know that past performance can be a fairly reliable predictor of future be… [+6850 chars]",sports
"{'id': None, 'name': 'Common Dreams'}",Brett Wilkins,New Funding Bill Shows House Republicans 'Want Monopolists to Win',"Anti-monopoly campaigners on Tuesday blasted House Republicans over a bill that would dramatically reduce funding for the U.S. Department of Justice's Antitrust Division and impose caps on how much the crucial agency gets from merger filing fees.

The House A…",https://www.commondreams.org/news/doj-antitrust-division,https://www.commondreams.org/media-library/jonathan-kanter-speaks-while-merrick-garland-stands-by.jpg?id=52503272&width=1200&height=600&coordinates=0%2C85%2C0%2C86,2024-06-25T23:05:46Z,Anti-monopoly campaigners on Tuesday blasted House Republicans over a bill that would dramatically reduce funding for the U.S. Department of Justice's Antitrust Division and impose caps on how much t… [+3235 chars],sports
"{'id': None, 'name': 'Thehillstimes.in'}",The Hills Times,"‘Simply not for me’: After consecutive defeats, Bhaichung Bhutia quits politics","GANGTOK, June 25: Indian football icon Bhaichung Bhutia on Tuesday announced that he was quitting politics, following his defeat in the recently held assembly elections in Sikkim. Bhaichung, the vice president of the Sikkim Democratic Front (SDF), lost to SKM…",https://thehillstimes.in/northeast/simply-not-for-me-after-consecutive-defeats-bhaichung-bhutia-quits-politics,https://thehillstimes.in/wp-content/uploads/2024/06/Bhaichung-Bhutia-contested-his-first-Lok-Sabha-ele_1719332859221.webp,2024-06-25T23:05:45Z,"GANGTOK, June 25: Indian football icon Bhaichung Bhutia on Tuesday announced that he was quitting politics, following his defeat in the recently held assembly elections in Sikkim.
Bhaichung, the vic… [+1946 chars]",sports
"{'id': 'marca', 'name': 'Marca'}",marca.com,Caitlin Clark and Angel Reese drive historic 3.3 million WNBA audience in Fever vs. Sky game,"The Indiana Fever and the Chicago Sky have set a new milestone for the WNBA, drawing the largest game audience in 23 years. 

This remarkable achievement marks the second consecuti",https://www.marca.com/en/basketball/wnba/2024/06/26/667b4733ca47416b2f8b4574.html,https://phantom-marca.unidadeditorial.es/a8c7f147da3e1979103203e99a8ecac0/resize/1200/f/webp/assets/multimedia/imagenes/2024/06/26/17193548397908.jpg,2024-06-25T23:04:29Z,"The Indiana Fever and the Chicago Sky have set a new milestone for the WNBA, drawing the largest game audience in 23 years. 
This remarkable achievement marks the second consecutive week that a matc… [+2475 chars]",sports
